MaDat,MaPhong,MaKhach,NgayNhan,NgayTra
D001,P001,KH001,2026-04-09,2026-04-12
D002,P002,KH001,2026-05-12,2026-05-18
D003,P003,KH001,2026-05-31,2026-06-04
D004,P004,KH001,2026-02-06,2026-02-13
D021,P001,KH002,2026-03-14,2026-03-17
D022,P002,KH002,2026-06-18,2026-06-20
D023,P003,KH002,2026-05-18,2026-05-25
D024,P004,KH002,2026-04-13,2026-04-19
D041,P005,KH003,2026-06-13,2026-06-18
D042,P005,KH003,2026-02-19,2026-02-21
D043,P005,KH003,2026-01-26,2026-01-31
D044,P005,KH003,2026-03-11,2026-03-13
D567,P033,KH023,2026-04-26,2026-04-28
D411,P042,KH043,2026-06-03,2026-06-06
D850,P023,KH054,2026-01-29,2026-02-05
D923,P041,KH047,2026-05-09,2026-05-14
D874,P047,KH040,2026-06-20,2026-06-22
D999,P005,KH053,2026-02-09,2026-02-14
D973,P008,KH059,2026-03-02,2026-03-04
D326,P053,KH046,2026-03-16,2026-03-23
D274,P020,KH034,2026-03-07,2026-03-12
D280,P052,KH045,2026-06-18,2026-06-20
D425,P018,KH027,2026-03-25,2026-04-01
D531,P036,KH047,2026-01-07,2026-01-08
D997,P053,KH035,2026-02-12,2026-02-18
D671,P046,KH033,2026-01-19,2026-01-22
D313,P050,KH055,2026-06-17,2026-06-20
D343,P034,KH009,2026-03-29,2026-04-05
D566,P012,KH055,2026-03-05,2026-03-08
D236,P011,KH017,2026-05-31,2026-06-05
D135,P002,KH056,2026-01-26,2026-01-31
D649,P057,KH013,2026-03-08,2026-03-10
D889,P035,KH027,2026-01-12,2026-01-14
D995,P022,KH049,2026-04-04,2026-04-09
D607,P046,KH050,2026-04-02,2026-04-03
D192,P058,KH038,2026-04-30,2026-05-02
D879,P060,KH016,2026-06-19,2026-06-22
D742,P059,KH024,2026-05-23,2026-05-24
D522,P032,KH046,2026-05-03,2026-05-09
D110,P021,KH026,2026-01-29,2026-02-04
D815,P039,KH054,2026-05-25,2026-05-28
D261,P011,KH045,2026-06-16,2026-06-18
D127,P051,KH046,2026-05-30,2026-06-01
D798,P021,KH027,2026-04-08,2026-04-15
D718,P042,KH053,2026-01-04,2026-01-10
D572,P018,KH016,2026-01-08,2026-01-12
D469,P029,KH034,2026-01-16,2026-01-23
D330,P007,KH040,2026-01-21,2026-01-27
D465,P050,KH040,2026-06-13,2026-06-16
D674,P044,KH056,2026-01-31,2026-02-03
