MaPhong,LoaiPhong,GiaDem,TinhTrang,MaDatHienTai
P001,Standard,801000,TRONG,
P002,Standard,788000,TRONG,
P003,Standard,655000,TRONG,
P004,Deluxe,1207000,TRONG,
P005,Deluxe,1239000,TRONG,
P006,Deluxe,1786000,TRONG,
P007,Deluxe,1364000,TRONG,
P008,Standard,895000,TRONG,
P009,Deluxe,1592000,TRONG,
P010,Deluxe,1514000,TRONG,
P011,Family,2000000,TRONG,
P012,Standard,519000,TRONG,
P013,Family,1806000,TRONG,
P014,Standard,616000,TRONG,
P015,Standard,566000,TRONG,
P016,Deluxe,1653000,TRONG,
P017,Standard,608000,TRONG,
P018,Family,2185000,TRONG,
P019,VIP,2520000,TRONG,
P020,Family,1700000,TRONG,
P021,Deluxe,1780000,TRONG,
P022,Deluxe,1293000,TRONG,
P023,Family,1752000,TRONG,
P024,Standard,582000,TRONG,
P025,Standard,695000,TRONG,
P026,Family,1657000,TRONG,
P027,Family,2098000,TRONG,
P028,VIP,3587000,TRONG,
P029,Family,1551000,TRONG,
P030,VIP,4850000,TRONG,
P031,Standard,669000,TRONG,
P032,Standard,651000,TRONG,
P033,Standard,807000,TRONG,
P034,Deluxe,1684000,TRONG,
P035,Deluxe,1732000,TRONG,
P036,VIP,2737000,TRONG,
P037,Standard,814000,TRONG,
P038,Family,1763000,TRONG,
P039,Standard,618000,TRONG,
P040,Family,1568000,TRONG,
P041,Deluxe,1242000,TRONG,
P042,Standard,745000,TRONG,
P043,Standard,736000,TRONG,
P044,Deluxe,1556000,TRONG,
P045,Deluxe,1569000,TRONG,
P046,Deluxe,1259000,TRONG,
P047,Deluxe,1609000,TRONG,
P048,Deluxe,1795000,TRONG,
P049,Deluxe,1449000,TRONG,
P050,Family,1586000,TRONG,
P051,Deluxe,1523000,TRONG,
P052,Standard,682000,TRONG,
P053,Family,2175000,TRONG,
P054,Standard,686000,TRONG,
P055,VIP,3425000,TRONG,
P056,Standard,832000,TRONG,
P057,VIP,2769000,TRONG,
P058,Deluxe,1205000,TRONG,
P059,Deluxe,1486000,TRONG,
P060,Deluxe,1266000,TRONG,
